rid,work,lang,author,role,written
bdr:MW23922,bdr:WA23922,bo-x-ewts,'jam mgon kong sprul blo gros mtha' yas/,contributing author,yes
bdr:MW4CZ58783,bdr:WA4CZ58783,,,no creator on the work,no
bdr:MW8LS16295,bdr:WA8LS16295,,,no creator on the work,no
bdr:MW8LS32725,bdr:WA8LS32725,,,no creator on the work,no
bdr:MW23188,bdr:WA23188,,,no creator on the work,no
bdr:MW3CN2682,bdr:WA3CN2682,,,no creator on the work,no
bdr:MW3CN15304,bdr:WA3CN15304,,,no creator on the work,no
bdr:MW00KG09767,bdr:WA00KG09767,,,no creator on the work,no
bdr:MW1KG13838,bdr:WA1KG13838,,,no creator on the work,no
bdr:MW2CZ7972,bdr:WA2CZ7972,bo-x-ewts,zhwa dmar 02 mkha' spyod dbang po/,contributing author,yes
bdr:MW8LS32724,bdr:WA8LS32724,,,no creator on the work,no
bdr:MW19231,bdr:WA19231,,,no creator on the work,no
bdr:MW20905,bdr:WA20905,,,no creator on the work,no
bdr:MW19222,bdr:WA19222,,,no creator on the work,no
bdr:MW23861,bdr:WA23861,,,no creator on the work,no
bdr:MW30112,bdr:WA30112,,,no creator on the work,no
bdr:MW4CZ295072,bdr:WA4CZ57660,,,no creator on the work,no
bdr:MW2PD17544,bdr:WA2PD17544,,,no creator on the work,no
bdr:MW8LS32728,bdr:WA8LS32728,,,no creator on the work,no
bdr:MW1KG1286,bdr:WA1KG1286,,,no creator on the work,no
bdr:MW23708,bdr:WA23708,,,no creator on the work,no
bdr:MW1KG11958,bdr:WA1KG11958,,,no creator on the work,no
bdr:MW1KG22298,bdr:WA1KG22298,,,no creator on the work,no
bdr:MW3CN641,bdr:WA3CN641,,,no creator on the work,no
